,Rk,Name,Age,Tm,IP,G,GR,GF,Wgr,Lgr,SVOpp,SV,BSv,SV%,SVSit,Hold,IR,IS,IS%,1stIP,aLI,LevHi,LevMd,LevLo,Ahd,Tie,Bhd,Runr,Empt,>3o,<3o,IPmult,0DR,Out/GR,Pit/GR
0,1,Fernando Abad*,33,SFG,8.2,13,13,1,0,2,0,0,0,,5,5,13,3,23%,6,1.359,7,3,3,6,1,6,8,5,1,8,2,3,2.0,9
1,2,Bryan Abreu,22,HOU,3.0,2,2,1,0,0,0,0,0,,0,0,0,0,,8,.005,0,0,2,1,0,1,0,2,1,0,1,0,4.5,25
2,3,Jason Adam,27,TOR,14.2,14,14,1,1,0,1,0,1,0%,3,2,7,1,14%,6,1.103,5,5,4,4,3,7,5,9,3,4,5,2,3.1,20
3,4,Austin Adams,32,TOT,16.2,15,15,9,0,0,0,0,0,,0,0,4,2,50%,,.207,0,2,11,2,1,12,2,13,4,2,4,3,3.3,21
4,5,Austin Adams,32,MIN,2.2,2,2,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,0,2,0,0,0,2,1,1,1,0,4.0,37
5,6,Austin Adams,32,DET,14.0,13,13,8,0,0,0,0,0,,0,0,4,2,50%,9,.255,0,2,11,0,1,12,2,11,3,1,3,3,3.2,19
6,7,Austin Adams,28,TOT,28.0,25,23,1,1,2,1,0,1,0%,11,10,13,4,31%,,1.177,5,11,7,14,2,7,9,14,8,5,9,4,3.4,19
7,8,Austin Adams,28,WSN,1.0,1,1,0,0,0,0,0,0,,0,0,0,0,,7,.130,0,0,1,0,0,1,0,1,0,0,0,0,3.0,33
8,9,Austin Adams,28,SEA,27.0,24,22,1,1,2,1,0,1,0%,11,10,13,4,31%,8,1.236,5,11,6,14,2,6,9,13,8,5,9,4,3.5,18
9,10,Chance Adams,24,NYY,23.2,10,10,3,1,0,3,1,2,33%,3,0,6,2,33%,8,.355,1,2,7,6,0,4,3,7,7,1,7,0,7.1,46
10,11,Ehire Adrianza,29,MIN,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.003,0,0,0,0,0,1,0,1,0,0,0,0,3.0,21
11,12,Dario Agrazal,24,PIT,58.1,12,1,0,0,0,0,0,0,,0,0,0,0,,6,.983,0,0,1,0,0,1,0,1,1,0,1,0,6.0,23
12,13,R.J. Alaniz,28,TOT,12.1,10,10,3,0,0,0,0,0,,0,0,7,3,43%,,.463,1,0,8,2,0,8,4,6,4,4,4,1,3.7,20
13,14,R.J. Alaniz,28,SEA,4.0,4,4,1,0,0,0,0,0,,0,0,1,1,100%,7,.555,0,0,4,1,0,3,1,3,1,2,1,0,3.0,21
14,15,R.J. Alaniz,28,CIN,8.1,6,6,2,0,0,0,0,0,,0,0,6,2,33%,8,.389,1,0,4,1,0,5,3,3,3,2,3,1,4.2,19
15,16,Matt Albers,36,MIL,56.1,62,62,12,6,5,5,4,1,80%,18,10,31,7,23%,7,1.414,23,22,17,33,11,18,20,42,9,21,12,12,2.7,15
16,17,Hanser Alberto,26,BAL,1.0,1,1,1,0,0,0,0,0,,0,0,0,0,,9,.000,0,0,0,0,0,1,0,1,0,0,0,0,3.0,20
