,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
0,1,Fernando Abad*,33,SFG,8.2,13,0,5,5.19,5.10,0.29,-0.35,94.9,4.23,-1,-0.1,1.65,0.0,-0.1,0,.494,.499,"$100,000",Free Agency
1,2,Bryan Abreu,22,HOU,3.0,2,0,0,0.00,5.42,0.23,-0.36,99.0,4.79,2,0.2,.01,-0.1,0.1,2,.581,.501,,Amateur Free Agent
2,3,Jason Adam,27,TOR,14.2,14,0,8,4.91,5.47,-0.12,-0.36,96.3,5.03,0,0.0,1.24,0.0,0.1,2,.501,.500,,Purchased
3,4,Austin Adams,32,2TM,16.2,15,0,13,7.02,4.92,-0.37,-0.33,104.9,5.20,-3,-0.3,.33,0.1,0.0,-2,.481,.500,,Waivers
4,5,Austin Adams,28,2TM,28.0,25,2,11,3.54,5.16,-0.31,-0.34,94.3,4.83,4,0.4,1.28,0.0,0.7,7,.515,.503,,Traded
5,6,Chance Adams,24,NYY,23.2,10,0,20,7.61,4.88,0.06,-0.23,97.2,4.46,-8,-0.8,.54,0.1,-0.4,-6,.423,.495,"$556,725",Amateur Draft
6,7,Ehire Adrianza,29,MIN,1.0,1,0,3,27.00,5.69,-0.05,-0.38,96.0,5.15,-2,-0.2,.00,0.1,-0.1,-2,.306,.499,"$1,300,000",Waivers
7,8,Dario Agrazal,24,PIT,58.1,12,11,34,5.25,4.71,-0.48,0.19,98.8,5.31,1,0.1,.09,0.0,0.6,6,.508,.501,,Amateur Free Agent
8,9,R.J. Alaniz,28,2TM,12.1,10,0,14,10.22,5.06,-0.09,-0.34,95.8,4.60,-8,-0.6,.48,0.2,-0.3,-6,.436,.498,,Waivers
9,10,Matt Albers,36,MIL,56.1,62,0,32,5.11,4.95,0.20,-0.34,99.0,4.38,-4,-0.4,1.38,-0.2,-0.1,1,.493,.497,"$2,500,000",Free Agency
10,11,Hanser Alberto,26,BAL,1.0,1,0,2,18.00,6.33,-0.53,-0.41,104.0,6.71,-1,-0.1,.00,0.1,-0.1,-1,.389,.499,"$578,000",Waivers
11,12,Sandy Alcantara,23,MIA,171.2,28,28,85,4.46,4.78,-0.01,0.21,97.0,4.85,9,0.9,,-0.1,2.3,24,.533,.506,"$555,000",Traded
12,13,Victor Alcantara,26,DET,39.0,43,0,25,5.77,5.00,-0.45,-0.33,104.3,5.34,-2,-0.2,1.16,-0.1,0.1,2,.495,.499,"$559,100",Traded
