,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
13,14,Scott Alexander*,29,LAD,17.1,28,0,7,3.63,5.26,0.63,-0.36,93.0,3.96,1,0.1,1.29,0.0,0.2,2,.503,.500,"$575,000",Traded
14,15,Tyler Alexander*,24,DET,34.1,9,5,22,5.77,4.91,-0.44,0.10,103.8,5.65,-1,-0.1,.36,0.0,0.2,3,.493,.500,,Amateur Draft
15,16,Kolby Allard*,21,TEX,33.1,6,6,15,4.05,4.80,-0.30,0.22,107.2,5.70,6,0.6,,0.0,0.9,10,.602,.504,,Traded
16,17,Cody Allen,30,LAA,23.0,25,0,16,6.26,5.35,-0.07,-0.35,97.4,4.93,-4,-0.3,.74,0.0,-0.1,-1,.486,.498,"$8,500,000",Free Agency
17,18,Logan Allen*,22,2TM,27.2,9,4,20,6.51,4.77,0.26,0.05,94.1,4.28,-7,-0.6,.62,-0.1,-0.4,-4,.433,.496,,Traded
18,19,Yency Almonte,25,COL,27.2,18,0,19,6.18,5.13,-0.07,-0.35,117.3,5.69,-1,-0.1,.67,0.0,0.1,1,.493,.499,,Traded
19,20,Dan Altavilla,26,SEA,8.1,10,0,6,6.48,5.18,-0.42,-0.34,97.8,5.14,-1,-0.1,1.02,0.0,-0.1,0,.488,.499,,Amateur Draft
20,21,Aaron Altherr,28,PHI,1.0,1,0,1,9.00,4.88,0.12,-0.33,104.0,4.61,0,0.0,.00,0.0,0.0,0,.454,.500,"$1,350,000",Amateur Draft
21,22,Jose Alvarado*,24,TBR,30.0,35,1,18,5.40,4.91,0.22,-0.32,95.8,4.18,-4,-0.4,1.54,-0.2,-0.3,-1,.488,.497,"$570,600",Amateur Free Agent
22,23,Jose Alvarez*,30,PHI,53.2,60,1,22,3.69,4.82,0.12,-0.31,101.5,4.45,5,0.5,1.16,-0.1,0.9,10,.508,.503,"$1,925,000",Traded
23,24,Adbert Alzolay,24,CHC,12.1,4,2,10,7.30,5.01,0.06,-0.01,98.9,4.89,-3,-0.3,.48,0.0,-0.2,-2,.425,.498,,Amateur Free Agent
24,25,Brett Anderson*,31,OAK,161.0,28,28,77,4.30,4.91,0.14,0.23,94.0,4.70,6,0.6,,-0.1,2.1,25,.521,.504,"$1,500,000",Free Agency
25,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
26,26,Chase Anderson,31,MIL,120.0,28,23,63,4.73,4.91,0.21,0.17,99.5,4.85,3,0.3,.41,-0.1,1.2,13,.509,.502,"$6,500,000",Traded
27,27,Cody Anderson,28,CLE,8.2,5,2,9,9.35,5.18,0.40,-0.10,99.7,4.67,-5,-0.4,3.20,-0.3,-0.6,-4,.418,.497,"$641,250",Amateur Draft
28,28,Drew Anderson,25,PHI,6.0,2,0,5,7.50,5.49,0.12,-0.38,89.3,4.47,-2,-0.2,.62,0.0,-0.1,-1,.409,.499,,Amateur Draft
29,29,Justin Anderson,26,LAA,41.2,48,0,27,5.83,5.10,-0.06,-0.34,97.9,4.73,-5,-0.5,1.00,-0.1,-0.2,-1,.489,.497,"$561,500",Amateur Draft
30,30,Nick Anderson,28,2TM,57.2,59,0,20,3.12,4.73,0.02,-0.32,96.7,4.24,7,0.7,1.31,0.1,1.4,13,.513,.502,"$555,000",Traded
31,31,Shaun Anderson,24,SFG,89.2,21,16,55,5.52,4.73,0.31,0.17,97.3,4.46,-10,-0.9,1.03,-0.1,-0.2,-2,.455,.494,,Traded
32,32,Tanner Anderson,26,OAK,22.1,5,5,16,6.45,5.34,0.15,0.25,90.9,4.94,-4,-0.4,,0.0,-0.2,-1,.429,.498,,Traded
33,33,Tyler Anderson*,29,COL,20.2,5,5,27,11.76,4.94,-0.07,0.22,121.1,6.33,-12,-1.0,,0.0,-0.8,-11,.301,.494,"$2,625,000",Amateur Draft
34,34,Matt Andriese,29,ARI,60.2,47,0,33,4.90,4.88,0.36,-0.33,103.0,4.31,-3,-0.3,1.04,-0.1,0.1,2,.493,.498,"$920,000",Traded
35,35,Victor Arano,24,PHI,4.2,3,0,2,3.86,4.13,0.06,-0.28,103.5,3.93,0,0.0,1.15,0.0,0.0,0,.503,.500,,Traded
36,36,Pedro Araujo,25,BAL,0.2,1,0,2,27.00,4.64,-0.63,-0.31,96.0,4.77,-2,-0.1,.23,0.1,-0.1,-2,.360,.499,"$557,000",Rule 5 Draft
37,37,Chris Archer,30,PIT,119.2,23,23,73,5.49,4.93,-0.37,0.22,96.4,5.31,-1,-0.1,,-0.1,0.9,9,.494,.499,"$7,666,667",Traded
38,38,Rogelio Armenteros,25,HOU,18.0,5,2,9,4.50,5.01,0.33,-0.05,93.8,4.34,0,0.0,.09,0.0,0.1,2,.492,.500,,Amateur Free Agent
39,39,Shawn Armstrong,28,2TM,49.2,46,0,31,5.62,4.94,-0.41,-0.33,102.0,5.12,-3,-0.3,1.18,-0.1,0.1,3,.494,.500,"$559,100",Waivers
40,40,Jake Arrieta,33,PHI,135.2,24,24,76,5.04,4.91,0.12,0.22,99.1,4.96,0,0.0,,-0.1,1.1,11,.499,.500,"$25,000,000",Free Agency
41,41,Humberto Arteaga,25,KCR,1.2,1,0,1,5.40,5.89,0.12,-0.39,106.0,5.70,0,0.0,.00,0.0,0.0,0,.504,.500,,Amateur Free Agent
42,42,Alex Avila,32,ARI,2.0,2,0,1,4.50,5.45,0.38,-0.37,92.0,4.32,0,0.0,.02,0.0,0.0,0,.499,.500,"$4,250,000",Free Agency
43,43,Pedro Avila,22,SDP,5.1,1,1,1,1.69,4.67,0.21,0.21,102.0,4.77,2,0.2,,0.0,0.3,2,.709,.501,,Traded
44,44,Luis Avilan*,29,NYM,29.0,38,0,15,4.66,4.88,-0.47,-0.33,92.9,4.65,0,0.0,.99,-0.1,0.2,3,.501,.500,"$1,600,000",Free Agency
45,45,Michel Baez,23,SDP,19.2,16,0,6,2.75,4.97,0.22,-0.34,92.9,4.10,3,0.3,.67,-0.1,0.4,5,.520,.502,,Amateur Free Agent
46,46,Pedro Baez,31,LAD,63.1,65,0,29,4.12,4.70,0.48,-0.32,95.4,3.72,-2,-0.2,1.57,-0.2,0.2,3,.497,.499,"$2,100,000",Amateur Free Agent
47,47,Sandy Baez,25,DET,1.0,1,0,1,9.00,5.89,-0.66,-0.39,108.0,6.65,0,0.0,.09,0.0,0.0,0,.475,.500,,Free Agency
48,48,Homer Bailey,33,2TM,146.0,28,28,80,4.93,4.86,0.10,0.23,98.9,4.93,-1,-0.1,,-0.1,1.3,16,.497,.500,"$100,000",Free Agency
49,49,Anthony Banda*,25,TBR,1.0,1,0,1,9.00,4.65,0.49,-0.31,94.0,3.63,-1,-0.1,.07,0.0,0.0,0,.444,.500,"$556,800",Traded
50,50,Manny Banuelos*,28,CHW,46.2,14,8,39,7.52,4.80,-0.48,0.08,99.8,5.34,-12,-1.1,.44,0.0,-0.6,-6,.425,.493,"$559,000",Traded
51,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
52,51,Luke Bard,28,LAA,38.1,26,3,23,5.40,4.90,-0.08,-0.32,99.4,4.63,-4,-0.3,.86,-0.1,0.0,1,.487,.498,"$575,000",Free Agency
53,52,Scott Barlow,26,KCR,60.2,53,0,31,4.60,4.80,0.07,-0.32,103.5,4.57,-1,-0.1,1.37,-0.2,0.4,6,.499,.500,"$650,000",Free Agency
54,53,Jacob Barnes,29,2TM,27.1,26,1,25,8.23,5.16,0.19,-0.33,99.9,4.64,-11,-1.0,.49,0.2,-0.6,-8,.460,.496,"$567,600",Waivers
55,54,Matt Barnes,29,BOS,55.1,60,0,27,4.39,4.91,-0.09,-0.32,104.1,4.87,3,0.3,1.78,0.0,0.8,9,.504,.502,"$1,600,000",Amateur Draft
56,55,Tony Barnette,35,CHC,1.1,2,0,1,6.75,4.74,0.07,-0.32,100.0,4.34,0,0.0,.64,0.0,0.0,0,.483,.500,"$750,000",Free Agency
57,56,Kyle Barraclough,29,2TM,28.1,36,0,23,7.31,4.93,-0.08,-0.34,103.6,4.84,-8,-0.7,1.29,-0.2,-0.7,-5,.479,.496,"$1,725,000",Waivers
58,57,Aaron Barrett,31,WSN,1.0,1,0,0,0.00,4.73,-0.08,-0.32,108.0,4.85,1,0.1,.87,0.0,0.1,1,.557,.500,,Free Agency
59,58,Jake Barrett,27,NYY,3.2,2,0,6,14.73,5.79,0.06,-0.38,92.0,4.92,-4,-0.3,.23,0.1,-0.2,-4,.334,.498,,Waivers
60,59,Jaime Barria,22,LAA,70.1,16,10,50,6.40,4.89,-0.08,0.15,102.4,5.24,-9,-0.9,1.04,-0.1,-0.3,-1,.445,.495,,Amateur Free Agent
61,60,Tyler Bashlor,26,NYM,19.0,21,0,17,8.05,4.65,-0.50,-0.32,93.8,4.53,-7,-0.7,.85,0.0,-0.5,-6,.466,.496,,Amateur Draft
62,61,Anthony Bass,31,SEA,40.2,36,0,18,3.98,4.93,-0.47,-0.33,93.0,4.71,3,0.3,1.44,0.0,0.7,8,.508,.502,,Free Agency
63,62,Chris Bassitt,30,OAK,136.0,24,24,59,3.90,4.74,0.12,0.22,94.7,4.59,9,0.9,,-0.1,2.2,25,.539,.506,"$565,000",Traded
64,63,Trevor Bauer,28,2TM,191.2,31,31,110,5.17,4.76,0.29,0.22,102.5,4.80,-9,-0.6,,-0.1,1.1,13,.480,.501,"$13,000,000",Traded
65,64,Gerson Bautista,24,SEA,9.0,8,2,11,11.00,5.24,-0.64,-0.35,92.0,5.09,-6,-0.5,.43,0.1,-0.3,-5,.432,.497,"$555,200",Traded
66,65,David Bednar,24,SDP,3.1,4,0,0,0.00,4.05,0.13,-0.28,94.0,3.42,1,0.1,.77,0.0,0.1,2,.533,.501,,Amateur Draft
67,66,Cam Bedrosian,27,LAA,61.1,59,7,30,4.40,4.98,-0.07,-0.31,100.1,4.74,2,0.2,1.20,-0.1,0.7,9,.503,.501,"$1,750,000",Amateur Draft
68,67,Tyler Beede,26,SFG,101.1,21,19,64,5.68,4.92,0.30,0.19,95.9,4.62,-11,-1.1,.61,-0.1,-0.2,-2,.449,.493,,Amateur Draft
69,68,Jalen Beeks*,25,TBR,100.0,29,3,52,4.68,4.94,0.25,-0.02,95.9,4.48,-3,-0.3,.97,-0.1,0.6,9,.490,.498,"$556,500",Traded
70,69,Travis Bergen*,25,SFG,19.2,21,0,12,5.49,4.85,0.27,-0.33,97.0,4.12,-3,-0.3,.49,0.0,-0.1,-1,.487,.498,"$555,000",Rule 5 Draft
71,70,Jose Berrios,25,MIN,174.0,28,28,85,4.40,4.68,-0.02,0.22,98.8,4.86,8,0.8,,-0.1,2.4,28,.528,.505,"$620,000",Amateur Draft
72,71,Chad Bettis,30,COL,63.2,39,3,47,6.64,4.99,-0.07,-0.22,118.2,5.72,-6,-0.6,.91,-0.1,-0.1,-1,.485,.496,"$3,350,000",Amateur Draft
73,72,Joe Biagini,29,2TM,63.2,60,0,28,3.96,4.83,-0.02,-0.32,98.4,4.45,3,0.3,1.01,-0.1,0.8,10,.505,.502,"$900,000",Traded
74,73,Jesse Biddle*,27,3TM,28.0,30,0,33,10.61,5.22,-0.22,-0.35,102.9,5.22,-17,-1.6,.76,0.2,-1.1,-14,.448,.497,"$575,000",Waivers
75,74,Shane Bieber,24,CLE,195.2,31,30,75,3.45,4.86,0.31,0.22,103.2,4.93,31,3.2,.01,-0.2,4.9,53,.603,.520,"$559,600",Amateur Draft
76,75,Kyle Bird*,26,TEX,12.2,12,0,11,7.82,5.36,-0.29,-0.35,110.7,5.86,-3,-0.3,.69,0.0,-0.1,-1,.478,.498,"$555,000",Traded
77,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
78,76,Ty Blach*,28,2TM,24.2,6,4,31,11.31,5.44,-0.22,0.08,97.8,5.63,-16,-1.2,.35,0.1,-0.9,-13,.296,.496,,Waivers
79,77,Ray Black,29,2TM,11.0,10,0,3,2.45,4.84,0.18,-0.33,104.6,4.52,3,0.3,.51,-0.1,0.3,4,.527,.501,,Traded
80,78,Paul Blackburn,25,OAK,9.0,3,1,12,12.00,4.87,0.17,0.17,105.1,5.11,-7,-0.6,1.20,0.0,-0.5,-6,.314,.497,,Traded
81,79,Michael Blazek,30,WSN,5.0,4,0,4,7.20,5.00,-0.15,-0.34,110.0,5.29,-1,-0.1,.05,0.0,0.0,-1,.475,.499,,Free Agency
82,80,Richard Bleier*,32,BAL,43.0,44,0,31,6.49,4.86,-0.50,-0.32,104.3,5.25,-6,-0.6,1.01,-0.1,-0.3,-1,.487,.496,"$572,500",Traded
83,81,Jerry Blevins*,35,ATL,27.2,37,0,13,4.23,4.80,0.16,-0.33,103.4,4.46,1,0.1,1.07,-0.1,0.3,3,.503,.501,,Purchased
84,82,Ronald Bolanos,22,SDP,6.0,1,1,2,3.00,4.68,0.23,0.21,102.0,4.74,1,0.1,,0.0,0.2,2,.631,.501,,Amateur Free Agent
85,83,Ryan Borucki*,25,TOR,6.2,2,2,10,13.50,4.63,-0.17,0.21,96.0,4.81,-6,-0.5,,0.0,-0.4,-6,.260,.497,"$565,200",Amateur Draft
86,84,Buddy Boshers*,31,TOR,13.1,18,1,10,6.75,5.47,-0.12,-0.32,96.5,5.09,-3,-0.2,1.21,-0.1,-0.2,-1,.486,.498,,Free Agency
87,85,James Bourque,25,WSN,0.2,1,0,4,54.00,4.20,-0.22,-0.28,110.0,4.55,-4,-0.3,.05,0.1,-0.1,-4,.234,.498,,Amateur Draft
88,86,Matt Bowman,28,CIN,24.1,22,0,14,5.18,4.70,0.20,-0.32,104.2,4.35,-2,-0.2,.50,0.0,0.0,0,.491,.499,,Waivers
89,87,Brad Boxberger,31,KCR,26.2,29,0,16,5.40,4.76,0.08,-0.31,103.9,4.54,-3,-0.3,1.05,-0.1,-0.1,0,.491,.498,"$2,200,000",Free Agency
90,88,Matthew Boyd*,28,DET,171.1,29,29,90,4.73,4.92,-0.34,0.23,104.8,5.75,18,1.9,,-0.1,3.4,38,.564,.512,"$2,600,000",Traded
91,89,Brad Brach,33,2TM,49.0,52,0,32,5.88,4.79,-0.04,-0.33,99.7,4.48,-7,-0.7,1.09,-0.1,-0.4,-3,.486,.497,"$1,650,000",Free Agency
92,90,Chasen Bradford,29,SEA,16.2,12,0,9,4.86,4.76,-0.56,-0.31,92.9,4.65,0,0.0,.96,0.0,0.1,1,.496,.500,"$562,300",Waivers
93,91,Archie Bradley,26,ARI,64.2,59,1,30,4.18,4.89,0.34,-0.33,103.0,4.34,2,0.2,1.33,-0.1,0.7,7,.503,.501,"$1,830,000",Amateur Draft
94,92,Ryan Brasier,31,BOS,48.2,54,0,33,6.10,4.98,-0.13,-0.33,104.3,4.99,-6,-0.6,1.36,-0.2,-0.3,-1,.489,.496,"$577,500",Free Agency
95,93,Steven Brault*,27,PIT,100.1,22,16,49,4.40,4.71,-0.42,0.14,99.6,5.25,10,1.1,.66,-0.1,1.9,19,.549,.507,"$574,500",Traded
96,94,John Brebbia,29,STL,66.1,58,0,26,3.53,4.83,0.23,-0.33,95.2,4.06,4,0.4,.84,-0.2,0.9,10,.508,.503,"$569,300",Rule 5 Draft
97,95,Brandon Brennan,27,SEA,40.0,36,0,23,5.18,5.16,-0.48,-0.34,93.6,4.96,-1,-0.1,1.04,-0.1,0.2,3,.497,.499,"$575,000",Rule 5 Draft
98,96,Colten Brewer,26,BOS,50.0,51,0,26,4.68,5.18,-0.14,-0.34,104.0,5.18,2,0.2,.89,-0.1,0.6,8,.505,.501,"$557,000",Traded
99,97,Austin Brice,27,MIA,44.2,36,0,21,4.23,4.82,-0.01,-0.33,97.0,4.37,1,0.1,.88,-0.1,0.4,5,.503,.501,"$555,000",Waivers
100,98,Jeff Brigham,27,MIA,29.2,23,0,19,5.76,4.87,-0.01,-0.33,95.3,4.33,-4,-0.4,.80,0.0,-0.2,-2,.481,.497,,Traded
101,99,Zack Britton*,31,NYY,56.1,61,0,13,2.08,4.85,0.04,-0.32,95.5,4.29,13,1.3,1.43,0.1,2.0,20,.522,.508,"$13,000,000",Free Agency
102,100,Aaron Brooks,29,2TM,95.2,26,17,69,6.49,4.75,-0.16,0.14,100.2,5.07,-16,-1.4,.17,0.0,-0.5,-5,.445,.496,"$560,000",Waivers
103,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
104,101,Mike Brosseau,25,TBR,4.0,3,0,2,4.50,5.49,0.34,-0.36,95.0,4.55,0,0.0,.01,0.0,0.0,0,.500,.500,,Amateur Free Agent
105,102,Clay Buchholz,34,TOR,42.1,8,8,26,5.53,5.15,-0.13,0.24,98.1,5.41,-1,-0.1,,0.0,0.3,4,.490,.500,"$3,000,000",Free Agency
106,103,Ryan Buchter*,32,OAK,40.1,59,0,14,3.12,5.21,0.11,-0.34,92.8,4.42,6,0.5,1.26,0.0,0.9,10,.509,.503,"$1,400,000",Traded
107,104,Walker Buehler,24,LAD,159.1,26,26,69,3.90,4.48,0.49,0.20,94.9,3.97,3,0.3,,-0.1,1.6,16,.510,.502,"$570,000",Amateur Draft
108,105,Madison Bumgarner*,29,SFG,188.2,31,31,88,4.20,4.93,0.26,0.22,94.3,4.61,10,1.0,,-0.1,2.6,26,.533,.506,"$12,000,000",Amateur Draft
109,106,Aaron Bummer*,25,CHW,57.0,49,0,15,2.37,4.87,-0.40,-0.32,100.8,4.99,16,1.6,1.40,0.2,2.4,23,.533,.510,,Amateur Draft
110,107,Dylan Bundy,26,BAL,144.0,27,27,88,5.50,5.08,-0.40,0.23,101.9,5.82,4,0.4,,-0.1,1.7,21,.515,.503,"$2,800,000",Amateur Draft
111,108,Nick Burdi,26,PIT,8.2,11,0,9,9.35,4.64,-0.32,-0.32,100.9,4.68,-4,-0.4,1.37,-0.1,-0.5,-4,.461,.497,"$559,000",Traded
112,109,Brock Burke*,22,TEX,23.0,4,4,9,3.52,4.89,-0.31,0.23,111.5,6.05,6,0.7,,0.0,0.9,9,.669,.504,,Traded
113,110,Corbin Burnes,24,MIL,46.0,30,4,50,9.78,4.95,0.21,-0.13,99.8,4.61,-26,-2.4,1.18,-0.2,-2.2,-22,.419,.485,"$562,800",Amateur Draft
114,111,Ryan Burr,25,CHW,19.2,16,1,13,5.95,5.00,-0.45,-0.27,99.0,5.13,-2,-0.2,.54,0.0,0.0,0,.489,.499,"$556,000",Traded
115,112,Ty Buttrey,26,LAA,64.1,64,0,31,4.34,5.08,-0.07,-0.34,98.7,4.75,3,0.2,1.54,-0.1,0.8,10,.504,.502,"$557,250",Traded
116,113,Genesis Cabrera*,22,STL,14.2,6,2,11,6.75,4.54,0.32,-0.02,93.9,3.94,-4,-0.4,.12,0.1,-0.2,-3,.430,.497,,Traded
117,114,Trevor Cahill,31,LAA,94.2,32,11,69,6.56,5.24,-0.08,0.01,98.4,5.25,-14,-1.4,.78,-0.1,-0.5,-3,.458,.492,"$9,000,000",Free Agency
118,115,Griffin Canning,23,LAA,90.1,18,17,46,4.58,4.89,-0.07,0.21,98.5,5.10,5,0.5,2.37,-0.1,1.3,15,.525,.503,,Amateur Draft
119,116,Matt Carasiti,27,SEA,9.2,11,5,6,5.59,4.84,-0.50,-0.32,92.1,4.63,-1,-0.1,.53,0.0,0.0,0,.491,.499,,Free Agency
120,117,Victor Caratini,25,CHC,2.0,2,0,2,9.00,4.83,0.08,-0.33,100.0,4.42,-1,-0.1,.01,0.0,0.0,-1,.452,.499,"$569,500",Traded
121,118,Shane Carle,27,ATL,9.1,6,0,10,9.64,4.57,0.21,-0.31,106.4,4.32,-5,-0.5,.66,0.1,-0.4,-5,.416,.497,"$575,000",Traded
122,119,David Carpenter,33,TEX,3.1,4,0,4,10.80,5.29,-0.38,-0.35,116.5,6.20,-2,-0.2,.32,0.0,-0.1,-1,.460,.499,,Free Agency
123,120,Ryan Carpenter*,28,DET,40.2,9,9,46,10.18,5.06,-0.51,0.24,105.2,6.11,-19,-1.5,,0.0,-1.2,-14,.330,.491,,Free Agency
124,121,Carlos Carrasco,32,CLE,69.0,16,12,43,5.61,5.12,0.35,0.20,100.8,5.01,-5,-0.5,.85,-0.1,0.2,3,.470,.497,"$9,750,000",Traded
125,122,Andrew Cashner,32,2TM,139.1,32,23,77,4.97,5.12,-0.34,0.19,102.8,5.79,12,1.3,1.35,-0.1,2.5,28,.540,.504,"$9,500,000",Free Agency
126,123,Diego Castillo,25,TBR,60.0,57,6,30,4.50,4.97,0.21,-0.32,95.4,4.24,-2,-0.2,1.53,-0.2,0.2,5,.496,.499,"$561,500",Amateur Free Agent
127,124,Jose Castillo*,23,SDP,0.2,1,0,0,0.00,3.73,0.00,-0.26,92.0,3.19,0,0.0,.36,0.0,0.0,0,.525,.500,"$560,300",Traded
128,125,Luis Castillo,26,CIN,173.2,29,29,66,3.42,4.80,0.16,0.21,100.3,4.87,29,3.1,,-0.1,4.6,44,.608,.519,"$557,500",Traded
129,Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
130,126,Miguel Castro,24,BAL,67.2,59,0,36,4.79,5.05,-0.39,-0.33,102.5,5.23,3,0.3,.95,-0.2,0.8,11,.505,.502,"$569,000",Traded
131,127,Dylan Cease,23,CHW,62.0,12,12,49,7.11,4.80,-0.45,0.22,100.0,5.47,-12,-1.1,,0.0,-0.5,-5,.412,.494,,Traded
132,128,Xavier Cedeno*,32,CHC,2.0,5,0,0,0.00,5.83,0.09,-0.40,105.8,5.65,1,0.1,.88,0.0,0.1,1,.526,.501,"$900,000",Free Agency
133,129,Luis Cessa,27,NYY,73.0,37,0,34,4.19,4.94,0.05,-0.30,95.6,4.40,1,0.1,.75,-0.2,0.7,10,.503,.501,"$578,975",Traded
134,130,Jhoulys Chacin,31,2TM,91.2,21,20,61,5.99,4.79,0.21,0.20,100.6,4.82,-11,-1.0,.32,-0.1,-0.3,-3,.451,.493,"$6,750,000",Free Agency
135,131,Andrew Chafin*,29,ARI,50.0,70,0,22,3.96,4.93,0.33,-0.34,103.6,4.42,3,0.3,1.32,-0.1,0.7,7,.504,.502,"$1,945,000",Amateur Draft
136,132,Aroldis Chapman*,31,NYY,53.2,56,0,18,3.02,4.82,0.04,-0.32,95.8,4.28,7,0.7,1.59,0.1,1.3,13,.513,.504,"$17,200,000",Free Agency
137,133,JT Chargois,28,LAD,21.1,21,0,16,6.75,4.71,0.46,-0.32,95.5,3.75,-7,-0.7,.35,0.2,-0.3,-5,.468,.496,,Waivers
138,134,Tyler Chatwood,29,CHC,69.1,34,5,32,4.15,4.73,0.05,-0.15,101.9,4.62,4,0.4,1.24,-0.1,1.0,10,.512,.503,"$12,500,000",Free Agency
139,135,Jesse Chavez,35,TEX,78.0,48,9,48,5.54,5.03,-0.29,-0.11,108.6,5.66,1,0.1,1.24,-0.1,0.7,10,.501,.500,"$4,000,000",Free Agency
140,136,Wei-Yin Chen*,33,MIA,62.0,42,0,49,7.11,4.98,-0.01,-0.34,97.3,4.52,-17,-1.7,.60,0.2,-0.9,-12,.460,.490,"$20,000,000",Free Agency
141,137,Yonny Chirinos,25,TBR,126.2,23,17,55,3.91,5.21,0.23,0.21,95.9,4.98,14,1.4,.78,-0.1,2.6,29,.563,.509,"$561,800",Amateur Free Agent
142,138,Adam Cimber,28,CLE,52.1,61,0,26,4.47,4.90,0.39,-0.32,103.7,4.33,-1,-0.1,1.38,-0.2,0.3,5,.498,.499,"$563,800",Traded
143,139,Steve Cishek,33,CHC,59.1,63,0,21,3.19,4.85,0.05,-0.33,100.2,4.47,9,0.9,1.35,0.0,1.5,14,.514,.506,"$6,500,000",Free Agency
144,140,Jose Cisnero,30,DET,29.0,27,0,14,4.34,4.92,-0.35,-0.33,103.9,5.14,2,0.2,1.13,-0.1,0.5,6,.509,.501,,Free Agency
145,141,Aaron Civale,24,CLE,46.2,8,8,13,2.51,4.86,0.35,0.23,99.3,4.71,11,1.2,,0.0,1.6,16,.647,.507,,Amateur Draft
146,142,Taylor Clarke,26,ARI,71.0,18,14,48,6.08,5.20,0.41,0.15,100.8,4.99,-8,-0.8,.71,0.0,-0.2,-2,.457,.495,,Amateur Draft
147,143,Emmanuel Clase,21,TEX,15.2,15,1,5,2.87,4.95,-0.26,-0.33,109.5,5.35,4,0.4,1.32,0.0,0.6,6,.528,.503,,Traded
148,144,Alex Claudio*,27,MIL,58.0,75,0,25,3.88,4.91,0.21,-0.34,100.0,4.36,4,0.4,1.32,-0.1,0.8,9,.505,.502,"$1,275,000",Traded
